AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
26.057,2.654,Acapulco,1897,12,1
24.923,1.059,Acapulco,1898,1,1
23.461,1.663,Acapulco,1898,2,1
24.421,1.028,Acapulco,1898,3,1
23.973,0.871,Acapulco,1898,4,1
26.022,1.012,Acapulco,1898,5,1
26.67,0.99,Acapulco,1898,6,1
26.719,0.75,Acapulco,1898,7,1
26.745,0.746,Acapulco,1898,8,1
26.704,0.817,Acapulco,1898,9,1
25.993,1.489,Acapulco,1898,10,1
26.667,0.944,Acapulco,1898,11,1
25.27,2.137,Acapulco,1898,12,1
24.177,1.488,Acapulco,1899,1,1
23.551,1.462,Acapulco,1899,2,1
24.243,0.797,Acapulco,1899,3,1
24.057,0.793,Acapulco,1899,4,1
26.299,0.743,Acapulco,1899,5,1
26.009,0.907,Acapulco,1899,6,1
27.182,0.8,Acapulco,1899,7,1
27.221,0.914,Acapulco,1899,8,1
26.575,0.809,Acapulco,1899,9,1
26.816,0.72,Acapulco,1899,10,1
26.255,0.772,Acapulco,1899,11,1
25.393,0.799,Acapulco,1899,12,1
24.917,0.839,Acapulco,1900,1,1
24.924,0.887,Acapulco,1900,2,1
24.182,1.174,Acapulco,1900,3,1
24.415,0.959,Acapulco,1900,4,1
25.975,0.806,Acapulco,1900,5,1
28.106,1.022,Acapulco,1900,6,1
27.112,0.773,Acapulco,1900,7,1
27.189,0.746,Acapulco,1900,8,1
27.148,0.795,Acapulco,1900,9,1
27.268,0.832,Acapulco,1900,10,1
26.736,0.755,Acapulco,1900,11,1
24.997,0.705,Acapulco,1900,12,1
25.005,0.99,Acapulco,1901,1,1
24.252,1.047,Acapulco,1901,2,1
24.003,0.834,Acapulco,1901,3,1
24.05,2.697,Acapulco,1901,4,1
26.354,2.307,Acapulco,1901,5,1
27.916,2.843,Acapulco,1901,6,1
27.227,1.145,Acapulco,1901,7,1
27.173,0.952,Acapulco,1901,8,1
27.058,0.69,Acapulco,1901,9,1
26.288,0.858,Acapulco,1901,10,1
26.113,1.065,Acapulco,1901,11,1
24.676,0.729,Acapulco,1901,12,1
24.23,1.242,Acapulco,1902,1,1
24.24,0.871,Acapulco,1902,2,1
23.773,0.93,Acapulco,1902,3,1
25.105,0.959,Acapulco,1902,4,1
26.235,0.69,Acapulco,1902,5,1
27.843,0.892,Acapulco,1902,6,1
26.779,0.705,Acapulco,1902,7,1
27.449,0.912,Acapulco,1902,8,1
27.081,0.66,Acapulco,1902,9,1
26.471,0.803,Acapulco,1902,10,1
26.708,0.914,Acapulco,1902,11,1
25.302,1.142,Acapulco,1902,12,1
24.218,0.828,Acapulco,1903,1,1
24.813,0.882,Acapulco,1903,2,1
